"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-07-02","2.01","0.00","0.0","0.0",,"95","79",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-07-03","1.12","0.01","0.0","0.0",,"92","77","    1",,"    1",,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-07-04","1.12","0.00","0.0","0.0",,"86","77","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-07-05","2.91","0.00","0.0","0.0",,"90","76","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-07-06","4.03","0.23","0.0","0.0",,"80","69","    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-07-07","5.37","0.00","0.0","0.0",,"78","62",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-07-08","2.01","0.00","0.0","0.0",,"84","62",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-07-09","2.68","0.00","0.0","0.0",,"87","67",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-07-10","3.80","0.00","0.0","0.0",,"93","72",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-07-11","2.68","0.00","0.0","0.0",,"88","74",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-07-12","1.34","0.71","0.0","0.0",,"84","64","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-07-13","2.01","0.00","0.0","0.0",,"84","68",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-07-14","3.58","0.36","0.0","0.0",,"88","70","    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-07-15","3.36","0.64","0.0","0.0",,"83","69","    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-07-16","2.24","0.00","0.0","0.0",,"90","75",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-07-17","2.68","2.24","0.0","0.0",,"88","70","    1",,"    1",,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-07-18","3.36","0.00","0.0","0.0",,"85","66","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-07-19","2.24","0.00","0.0","0.0",,"83","66",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-07-20","2.01","0.00","0.0","0.0",,"82","69",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-07-21","5.82","0.63","0.0","0.0",,"79","65","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-07-22","3.36","1.06","0.0","0.0",,"79","70","    1","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-07-23","4.47","0.17","0.0","0.0",,"80","73","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-07-24","5.14","0.02","0.0","0.0",,"82","75","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-07-25","3.80","0.73","0.0","0.0",,"77","72","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-07-26","3.36","0.03","0.0","0.0",,"85","72","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-07-27","2.46","0.25","0.0","0.0",,"86","68","    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-07-28","1.12","0.00","0.0","0.0",,"85","70","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-07-29","2.01","0.00","0.0","0.0",,"82","70",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-07-30","1.34","0.37","0.0","0.0",,"78","68","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-07-31","1.57","0.00","0.0","0.0",,"82","68",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-08-01","2.46","0.10","0.0","0.0",,"84","74","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-08-02","2.68","0.51","0.0","0.0",,"86","76","    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-08-03","2.24","0.24","0.0","0.0",,"85","73","    1",,"    1",,,"    1"
